insertid,id,name,for_quantity,for_amount,discount_percent,is_active,erp_id,scheme_type,apply_type,type,sku_id,user_id,company_id,unit_case_calculation,apply_in_cases,start_date_time,created,modified,end_date,end_date_time,scheme_group_id,source,max_cash,max_loyalty,loyalty_point,for_all_sku,reason_id,cash_back_start_day,cash_back_end_day,point_type,for_every_type,for_every_value,and_amount,invoice_amount,description,and_no_oflines,reason,free_cash_scheme_ceiling,max_save_cash,min_save_cash,save_rupee,free_sku_scheme_ceiling,free_quantity,max_quantity,min_quantity
1,1234,AI_DDNH_C-Access_6U_30%,6,0.00,5.00,1,DDAI04250097,0,prorated,103,103,6515,1596,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2025-06-12 17:35:37,0000-00-00,0000-00-00 00:00:00,6685,all,0.00,0.00,0.00,0,0,0,0,loyaltypoint,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0,0,0
2,1235,AI_DDNH-ALC_C-Access_6U_31.25%,6,0.00,6.25,1,DDAI04250098,0,prorated,231,231,6515,1596,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2025-06-12 17:51:49,0000-00-00,0000-00-00 00:00:00,6686,all,0.00,0.00,0.00,0,0,0,0,loyaltypoint,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0,0,0
3,1236,AI_DDNH-ALC_Paro_MW_12U_20.88%,12,0.00,5.88,1,DDAI04250099,0,non-prorated,233,233,6515,1596,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2025-06-16 13:34:15,0000-00-00,0000-00-00 00:00:00,6687,all,0.00,0.00,0.00,0,0,0,0,loyaltypoint,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0,0,0
4,1237,AI_DDNH_C-Access_2U_30%,2,0.00,5.00,1,DDAI04250097,0,prorated,234,234,6515,1596,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2025-06-12 17:52:11,0000-00-00,0000-00-00 00:00:00,6685,all,0.00,0.00,0.00,0,0,0,0,loyaltypoint,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0,0,0
5,1238,AI_DDNH-ALC_C-Access_3U_31.25%,3,0.00,7.50,1,DDAI04250098,0,prorated,235,235,6515,1596,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2025-06-12 17:52:16,0000-00-00,0000-00-00 00:00:00,6686,all,0.00,0.00,0.00,0,0,0,0,loyaltypoint,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0,0,0
6,1239,AI_DDNH-ALC_Paro_MW_5U_20.88%,5,0.00,12.50,1,DDAI04250099,0,prorated,250,250,6515,1596,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2025-06-12 17:52:21,0000-00-00,0000-00-00 00:00:00,6687,all,0.00,0.00,0.00,0,0,0,0,loyaltypoint,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0,0,0
