insertid,id,skunit_id,batch_id,mrp,margin,created,modified,is_active,subdbmargin,alcmargin
1,44106,231,28950,60.00,15.00,2025-09-05 16:47:00,2025-09-05 16:47:00,1,3.36,15.00
2,44077,233,28930,60.00,15.00,2025-09-05 11:49:00,2025-09-05 11:49:00,1,3.36,15.00
3,44029,234,28891,60.00,15.00,2025-08-05 12:45:00,2025-08-05 12:45:00,1,3.36,15.00
4,44027,235,28890,60.00,15.00,2025-08-05 11:48:00,2025-08-05 11:48:00,1,3.36,15.00
5,43929,250,28811,520.00,15.00,2025-06-05 18:45:00,2025-06-05 18:45:00,1,3.36,15.00
